"","N","Exp","nn1_1","ht_1","adjusted_ht_1","loop_rf_1","ps1_1","ps_rf1_1","ps_logit1_1","lr_1","rf_1"
"1",1000,1,-0.000760592255125257,-0.00135126190021212,-0.000536615748857919,-0.000876926568232027,-0.00118428246013665,0.0111596810933941,-0.000566970387243709,-0.000614896445401562,-0.00575991283045661
"2",1000,2,0.00180195899772207,0.000525064260006952,0.000184690297987499,0.000693112391910059,-0.000175261958997747,0.110250706150342,0.00171539863325738,0.0622793541842787,0.0565022344593146
"3",1000,3,0.260446469248292,0.00219438116932424,0.0016041044046463,-0.00183782555979236,0.000899772209567203,0.0441503416856492,0.260779043280182,0.320104771080168,0.311310428382149
"4",10000,1,-0.000104328018223189,-6.8703182032432e-05,-0.00011064537641145,-0.00012037637086883,-9.65831435079261e-05,-0.00724965831435075,-0.000371526195899726,-0.000108361567377216,0.000279599598465599
"5",10000,2,-0.00137347031963473,-0.001405541666037,-0.00121925789390292,-0.000984848969737087,-0.00119173515981738,0.108139543378995,-0.00109424657534249,0.0597764946724916,0.0525878627626969
"6",10000,3,0.10680410022779,-9.13692736016011e-05,-0.000296118818087406,-0.000694897004026025,-0.000341230068337132,-0.0252384965831435,0.107097949886105,0.320179578924784,0.316131615408639
"7",1e+05,1,7.40774487471966e-05,3.82148863357845e-06,8.62829045340703e-05,6.44563056794979e-05,8.68337129841016e-05,0.00130931662870164,8.11161731207753e-05,8.65645029352044e-05,0.000796364334813587
"8",1e+05,2,-4.99771689497976e-05,-0.000185951443922665,-0.000107711499984956,-0.000249604239202348,-0.000135456621004591,0.147438333333333,-0.000152968036529706,0.0609496172117449,0.0526453518779549
"9",1e+05,3,0.0874003189066059,-0.000161098456087044,-0.000222880546296245,-0.000279564145119622,-0.000205603644646926,0.0195132118451025,0.0874776993166287,0.319831895899622,0.316313310226714
