"","N","Exp","tmle_1","tmle_hal_1"
"1",1000,1,0.000415767480051527,0.000414372399848585
"2",1000,2,0.000919177954524922,0.000858308032796982
"3",1000,3,0.102741067848646,0.102742813480362
"4",10000,1,4.15130459811296e-05,4.15827849505171e-05
"5",10000,2,8.10867315089456e-05,8.09783348090239e-05
"6",10000,3,0.102500809580946,0.102503474645731
"7",1e+05,1,4.04452235426153e-06,4.04631942531597e-06
"8",1e+05,2,1.1478114397513e-05,1.14891176333782e-05
"9",1e+05,3,0.102269620579092,0.102275047885886
