"","N","Exp","tmle_c_1","ht_1","lr_1"
"1",1000,1,0.000412621907256411,0.000640445543969606,0.000397100000664906
"2",1000,2,0.00116773577056902,0.000938480256057524,0.00468427437798396
"3",1000,3,0.103098760192128,0.000864040210116524,0.103102189514715
"4",10000,1,4.38087914723687e-05,6.54530791744234e-05,4.29069866670269e-05
"5",10000,2,9.6642666846503e-05,9.67867569158357e-05,0.00371390124907098
"6",10000,3,0.102646559244356,7.57702583793296e-05,0.102615190029429
"7",1e+05,1,4.05812768697429e-06,6.39943238786629e-06,4.03674557400579e-06
"8",1e+05,2,6.90650868017213e-06,8.34616130244403e-06,0.00371216632358899
"9",1e+05,3,0.10235195611158,7.74651147908167e-06,0.10235078104097
