"","N","Exp","dr_logit_1","cross_fit_1"
"1",1000,1,0.000414271060589047,0.00054029227156622
"2",1000,2,0.00511581344885303,0.00089002052540155
"3",1000,3,0.102720203680744,0.00114715758298239
"4",10000,1,4.15215834803242e-05,5.3599174115767e-05
"5",10000,2,0.00402297173099015,8.98218328408567e-05
"6",10000,3,0.102499990340856,7.2665256039002e-05
"7",1e+05,1,4.04396240106177e-06,5.23957886284301e-06
"8",1e+05,2,0.00402700289073111,8.12236530059533e-06
"9",1e+05,3,0.102271067176062,7.07502219607783e-06
