"","N","Exp","dr_logit_1","dr_RF_Pscore_1","dr_RF_Pscore_CF_1","cross_fit_1","dr_noCF_1"
"1",1000,1,0.000414271060589047,0.0176632148483626,0.100619272862902,0.00054029227156622,0.00097324502350379
"2",1000,2,0.00511581344885303,0.0175113050765412,0.612344177561594,0.00089002052540155,0.00141207322210033
"3",1000,3,0.102720203680744,0.000437041917381457,0.810910750930605,0.00114715758298239,0.00263951717667769
"4",10000,1,4.15215834803242e-05,0.0170626076647142,0.0746448804694651,5.3599174115767e-05,0.000101148458517113
"5",10000,2,0.00402297173099015,0.0176207824199158,0.498764626539437,8.98218328408567e-05,0.000176229180836589
"6",10000,3,0.102499990340856,0.00335113859536763,0.0665260055285433,7.2665256039002e-05,0.000145892887694822
"7",1e+05,1,4.04396240106176e-06,0.017015184602921,0.0740079635749341,5.23957886284301e-06,9.9562657361678e-06
"8",1e+05,2,0.00402700289073111,0.0175315181615586,0.505632238914946,8.12236530059533e-06,1.56471053148175e-05
"9",1e+05,3,0.102271067176062,0.00384597675663042,0.0628270449461157,7.07502219607783e-06,1.40333871878221e-05
