"","N","Exp","nn1_1","nn3_1","ht_1","adjusted_ht_1","ps1_1","ps3_1","lr_1","rf_1"
"1",100,1,0.0068,0.00513333333333321,-0.00176017359925946,0.013154683729243,0.0067,0.00513333333333321,0.0105437317553924,-0.00483343802934324
"2",100,2,-0.00160000000000001,-0.00200000000000008,-0.005554343167673,0.0110447942511409,-0.00160000000000001,-0.00196666666666675,0.00115183236893916,-0.0089410225927332
"3",100,3,-0.0062,-0.000533333333333507,-0.00911948863311919,0.0035287338886279,-0.006,-0.000600000000000174,0.00681063987428991,-0.0134963563142449
"4",200,1,0.0082,0.00843333333333369,0.000948829607585222,0.00923578794986997,0.00845,0.00835000000000036,0.0117611499233279,0.0102320826621395
"5",200,2,0.00979999999999999,0.0105666666666668,0.00638864439949062,0.0157753029102968,0.00999999999999999,0.0106000000000001,0.00806157301522238,0.0056173397703997
"6",200,3,0.00205,0.003166666666667,-0.00240571414714744,0.012343317359779,0.0016,0.003066666666667,0.00809766393232616,0.00952026494222485
"7",400,1,-0.001875,0.000241666666665818,-0.00100712448124313,0.00460024497009883,-0.001025,0.000291666666665817,0.00718247895601377,0.0175850945058952
"8",400,2,0.00102499999999999,0.00249166666666639,0.00174578887011617,0.0103286624365433,0.00159999999999999,0.00260833333333305,0.00388078190461287,0.012138722791903
"9",400,3,-0.000849999999999997,-0.000208333333334159,-0.000940650798697363,0.00352310602099082,-0.001225,-0.000258333333334158,0.00670463021940864,0.0166276055192622
"10",800,1,-0.0022,-0.00161249999999841,-0.00111008807627081,-0.000929079552781247,-0.0019,-0.00172083333333175,0.00829659577884482,0.0256128614906542
"11",800,2,-0.00061250000000001,0.000683333333333724,-0.000747194956721285,0.00326682886706457,-0.00041250000000001,0.000600000000000388,0.002777970973358,0.0184464320028549
"12",800,3,-0.0033875,-0.00222916666666511,-0.00191891353728014,2.27859118116908e-05,-0.0029875,-0.00204583333333177,0.00710377103539233,0.0243422021616253
"13",1600,1,-9.37499999999974e-05,0.000958333333330011,-0.00134579203708007,-0.000148223125613335,0.000337499999999999,0.000862499999996685,0.00997480130676638,0.0314786601957827
"14",1600,2,-0.00023750000000001,0.00182499999999912,-0.000283134071890131,0.00182031449492501,0.000112499999999989,0.00173124999999913,0.00430083060618222,0.02431370256791
"15",1600,3,-0.001025,0.000627083333330029,-0.00172665652698641,-0.000766882159841359,-6e-04,0.000435416666663377,0.00991363145471658,0.0304774083752057
"16",3200,1,-0.000578125000000001,-0.000987499999997949,-0.00130218463821763,-0.000667288674953512,-0.001328125,-0.000937499999997939,0.00805171047153184,0.0319536247971416
"17",3200,2,-6.25000000000109e-05,0.000627083333335118,-0.000651021417892285,0.00212914929177822,-0.000506250000000012,0.000573958333335111,0.00202886912785706,0.0244769143368563
"18",3200,3,0.000309375000000003,-0.000319791666664656,-0.00146119799725091,-0.000272621287947973,-0.000353125,-0.000336458333331327,0.00848090030795608,0.0316033036959981
"19",6400,1,0.000592187499999999,0.000751562499995867,0.00110488372009079,0.000956546395654589,0.000264062499999999,0.000554166666662517,0.0101952122097941,NA
"20",6400,2,0.000953124999999991,0.00132864583332973,0.00121583290688202,0.00147345238055552,0.00053906249999999,0.00116874999999641,0.00398589782059026,NA
"21",6400,3,-0.000843749999999998,9.06249999958719e-05,0.000344243509123714,0.000215464026281864,-0.000734374999999999,-1.04166667080574e-06,0.0097243377860468,NA
"22",12800,1,-0.000375,-0.000149479166658097,-0.000371494457284476,-0.000217952369357961,-0.000486718749999998,-0.000131510416658108,0.00864422200112764,0.0332427903226212
"23",12800,2,0.000260156249999989,0.00027656250000709,4.15817202400728e-05,0.000292981924334895,1.71874999999888e-05,0.000264843750007087,0.00254805043874198,0.0263711212129686
"24",12800,3,-0.000873437500000001,-0.000430208333324677,-0.000335879780046079,-0.000200583748630122,-0.000721875000000002,-0.000415364583324696,0.00893031559039684,0.0324530733190623
"25",25600,1,-0.000106249999999999,-0.00041914062501754,-0.000614696453544174,-0.000425875000898925,-0.000463671874999997,-0.000247395833350805,0.00826653263245906,0.0329098227053809
"26",25600,2,3.98437499999893e-05,-0.000207552083347458,-0.00034764944407558,-0.00014608360022508,-0.000245703125000011,-4.92187500141594e-05,0.00214362402591755,0.0263789642954378
"27",25600,3,-0.001294921875,-0.00131875000001794,-0.00150026670694062,-0.00132292695372767,-0.001266015625,-0.00121093750001786,0.00802811138169626,0.0312857753580889
